S6_T,S6_H,S6_R,S6_P,S6_V,S2_T,S2_H,S2_R,S2_P,S2_V,S3_T,S3_H,S3_R,S3_P,S3_V,S5_T,S5_H,S5_R,S5_P,S5_V
0.640439823,-0.694639799,1.642088257,-0.146721297,1.240046591,0.829190336,-1.179601857,1.757113599,-0.175702365,0.213714475,0.383183063,-0.78585005,0.977082005,-0.175702365,1.050219485,0.61225446,-0.806504338,1.422987374,-0.175702365,1.333452736
0.837830378,-0.915305089,1.420236608,-0.073360649,0.776986908,0.905530088,-1.159228238,1.542513595,-0.136657395,0.730661565,0.383845436,-0.689261192,0.516940986,-0.136657395,1.175577248,0.497091936,-0.621930195,0.377132374,-0.136657395,1.919979184
0.968910043,-1.036125871,0.557459145,-0.110040973,1.106576447,0.660439304,-0.924089111,1.046642159,-0.136657395,0.377427828,0.084783806,-0.367932394,-0.005680911,-0.136657395,1.289792099,0.388870715,-0.463704434,-0.128734083,-0.136657395,2.096900894
0.574745779,-0.858433249,-0.261462468,-0.183401621,0.484169756,-0.189007852,-0.403949107,-0.580776659,-0.175702365,-0.384686056,-0.381527129,0.021663803,-0.643362763,-0.175702365,-0.870540024,-0.06830873,-0.076877671,-0.619804447,-0.175702365,1.354793487
0.253677705,-0.713703341,-0.915026767,-0.220081946,0.351380583,-0.829190336,0.359755206,-0.926001604,-0.253792305,-0.270973825,-0.57162832,0.107332695,-0.986182441,-0.253792305,1.338542341,-0.368677834,0.028380391,-1.048639139,-0.253792305,0.656055992
-1.916693129,1.099819782,-1.133745315,-0.403483567,-0.930886156,-1.967924974,0.662448962,-1.090679672,-0.449017156,-1.612939437,-2.14410298,0.618246189,-1.179176084,-0.449017156,-1.523096826,-1.930470969,0.406808185,-1.249009773,-0.449017156,-0.46261241
-1.76834179,0.891523479,-0.965129878,-0.403483567,-0.973106303,-1.736561953,0.668806143,-0.93810689,-0.449017156,-1.386321446,-1.595988919,0.257323709,-0.843828497,-0.449017156,-1.631740221,-1.578988635,0.204420097,-0.915376839,-0.449017156,-0.860514156
-1.511425646,0.541940182,-0.610392276,-0.403483567,-0.180457082,-1.60330221,0.794494517,-0.791877014,-0.449017156,-0.447590694,-1.212805856,0.128961273,-0.456231162,-0.449017156,-0.930433177,-1.147996833,-0.023300369,-0.424296394,-0.449017156,-0.2856907
-1.165992175,0.442414462,-0.373488857,-0.403483567,0.032005596,-1.455979881,0.827812276,-0.618622995,-0.449017156,-0.321781418,-0.900496757,-0.099019431,-0.1831449,-0.449017156,0.098196915,-0.850151839,-0.111150888,0.004239217,-0.449017156,0.510801203
-0.863737888,0.359784523,-0.151978173,-0.366803243,-0.015662313,-1.24771968,0.794800887,-0.347088566,-0.449017156,-0.176616868,-0.632235494,-0.210262179,0.21873796,-0.449017156,0.664396146,-0.616671653,-0.134925392,0.186772543,-0.449017156,0.983739783
-0.295931621,-0.01804342,0.641359598,-0.366803243,-0.606063408,-0.962784902,0.5602745,-0.158701289,-0.409972185,0,-0.399080026,-0.344612983,0.351907307,-0.409972185,0.778610997,-0.327661045,-0.383101414,0.473298584,-0.409972185,0.225798914
0.712302322,-0.748451271,1.666501448,-0.366803243,2.229496177,-0.197378439,-0.234526387,0.588590671,-0.409972185,0.522592377,-0.019540018,-0.589854278,1.039910507,-0.409972185,0.604502993,-0.005205977,-0.564356609,1.01639891,-0.409972185,0.381379874
1.34086787,-1.168741822,2.604825688,-0.366803243,2.404505498,0.394254642,-1.006272917,1.047268863,-0.409972185,1.05808827,0.45670652,-0.845381476,1.24285718,-0.409972185,0.419252075,0.410010137,-0.831498048,1.584017133,-0.409972185,0.338698372
1.371710144,-1.266227297,1.87893485,-0.366803243,2.484859973,0.813788456,-1.243939598,1.057312622,-0.409972185,1.228253381,0.630910747,-1.003756205,0.660059703,-0.409972185,0.229126134,0.562087772,-0.866719536,0.327279989,-0.409972185,0.612686079
1.338400488,-1.267566208,1.176411571,-0.366803243,2.128031629,0.426062872,-0.878363359,0.323867526,-0.409972185,1.354062657,0.569972386,-0.960287696,-0.082751028,-0.409972185,0.783486021,0.990555464,-1.123971865,0.529011608,-0.409972185,1.629469605
0.418992295,-0.717273771,-0.364680559,-0.366803243,2.420848781,0.01925235,-0.422561096,-0.054655201,-0.409972185,1.039539467,-0.084121433,-0.28775871,-0.538424162,-0.409972185,1.050219485,0.174952382,-0.355127425,-0.594073424,-0.409972185,1.796065146
0.146038168,-0.51822233,-0.824894207,-0.366803243,1.090914134,-0.77662305,0.349568396,-0.909882113,-0.409972185,0.175810399,-0.701122337,0.422532222,-1.028998766,-0.409972185,1.371274646,-0.362367559,0.098823367,-1.11961872,-0.409972185,0.746926287
-1.416739864,1.683011176,-1.117003867,-0.220081946,-0.834869369,-1.581873508,1.067317179,-1.075935632,-0.097612425,-1.600842391,-1.700975117,1.52488515,-1.217619663,-0.097612425,-1.087826814,-1.696044242,1.668414787,-1.281229838,-0.097612425,-0.785477321
-1.25759373,1.51800633,-0.786270297,0.25676227,-0.792649221,-1.376626718,0.891767055,-0.893594401,0.214747335,-1.487130161,-1.472456263,1.171782774,-0.743555379,0.214747335,-0.897700873,-1.505473928,1.410417388,-1.020320564,0.214747335,-0.629896362
-0.947937297,1.057038386,-0.389044499,1.100409728,-0.324141778,-0.989235957,0.638169123,-0.549184171,0.839466856,-1.285512731,-1.088610827,0.796770016,-0.469554317,0.839466856,-1.675615438,-1.059968492,0.912372003,-0.409927078,0.839466856,-0.516308493
-0.553156187,0.620170842,0.210783503,1.834016213,0.213143648,-0.529858149,0.41727621,0.113984297,1.425141407,-0.680660442,-0.42822446,0.20272388,0.170125459,1.425141407,-1.588561436,-0.588590928,0.447380629,0.287650114,1.425141407,-0.473626991
