S7_T,S7_H,S7_R,S7_P,S8_T,S8_H,S8_R,S8_P,S9_T,S9_H,S9_R,S9_P,S4_T,S4_H,S4_R,S4_P
7.328,99.719,350.888,0.02,4.742,99.812,448.971,0.03,3.668,99.896,1043.886,0.02,11.109,88.073,996.762,0.02
7.835,87.826,576.964,0.02,5.123,97.536,271.976,0.03,4.696,99.903,676.685,0.02,11.318,92.978,897.133,0.02
7.213,93.441,252.445,0.05,4.408,96.515,685.978,0.03,4.604,99.903,1283.627,0.05,11.01,84.406,1242.093,0.05
8.063,87.089,492.778,0.02,5.214,92.294,383.491,0.01,5.686,99.917,1163.943,0.02,10.864,88.962,515.727,0.02
8.42,92.641,320.494,0.04,8.714,84.883,179.039,0.02,6.84,98.638,1021.513,0.04,10.853,91.409,298.921,0.04
10.123,90.492,261.423,0.04,7.476,90.881,217.797,0.03,8.831,71.243,330.517,0.04,12.319,83.806,287.166,0.04
12.08,75.43,177.769,0.04,9.763,83.672,628.747,0.03,10.016,74.933,658.635,0.04,15.712,62.633,255.395,0.04
13.94,67.437,145.216,0.04,10.181,73.596,34.143,0.03,10.689,70.65,284.718,0.04,17.96,50.947,114.512,0.04
13.946,66.23,27.778,0.04,10.892,75.565,13.819,0.03,12.806,57.731,52.66,0.04,20.431,38.133,28.798,0.04
17.479,43.932,0,0.04,9.857,98.571,0,0.04,13.137,52.442,0,0.04,22.266,27.701,0,0.04
5.958,86.369,62.976,0.05,5.176,99.665,399.228,0.06,2.297,99.889,387.224,0.05,11.194,71.184,217.428,0.05
5.483,87.475,636.993,0.06,4.025,99.804,660.065,0.06,2.173,99.887,677.727,0.06,10.86,76.943,403.267,0.06
4.865,90.9,1048.11,0.05,3.368,92.58,905.832,0.05,2.107,99.893,1153.861,0.05,10.504,99.813,837.676,0.05
5.789,89.869,260.698,0.04,3.651,97.213,196.741,0.04,3.392,99.898,309.197,0.04,9.853,76.975,269.708,0.04
4.59,92.683,1280.041,0.03,2.96,91.957,313.956,0.03,2.639,99.886,1192.011,0.03,10.05,73.807,679.665,0.03
4.526,94.108,1086.14,0.12,4.797,87.766,702.483,0.15,4.139,99.885,1318.441,0.12,9.644,87.305,702.999,0.12
9.372,78.407,1124.175,0.1,7.807,83.309,141.771,0.12,7.05,99.923,1495.61,0.1,13.763,68.297,1344.646,0.1
12.558,71.476,344.677,0.1,9.463,78.491,279.108,0.13,9.357,84.464,1017.597,0.1,14.735,62.883,987.158,0.1
14.844,65.058,288.052,0.11,10.887,78.324,342.05,0.15,11.296,73.488,147.104,0.11,16.96,53.941,282.752,0.11
