S7_T,S7_H,S7_P,S8_T,S8_H,S8_P,S9_T,S9_H,S9_P,S4_T,S4_H,S4_P
11.994,71.701,0.13,8.122,99.85,0.15,9.483,85.312,0.13,16.264,64.381,0.13
11.998,73.066,0.09,7.973,99.843,0.12,8.307,99.637,0.09,14.946,67.885,0.09
11.035,84.464,0.05,7.602,99.841,0.08,7.295,99.925,0.05,13.638,78.642,0.05
10.616,95.254,0.03,7.427,99.838,0.05,7.485,95.71,0.03,13.314,80.872,0.03
10.372,97.763,0.02,7.312,99.838,0.04,7.271,95.535,0.02,12.625,86.994,0.02
10.104,99.739,0.01,7.331,99.841,0.03,6.541,99.917,0.01,12.133,95.656,0.01
9.561,99.733,0.02,7.24,99.839,0.02,6.649,99.913,0.02,11.719,99.816,0.02
9.211,99.729,0.02,6.839,99.833,0.02,6.466,99.919,0.02,11.271,99.813,0.02
8.888,99.729,0.02,7.071,99.833,0.02,6.228,99.911,0.02,10.888,99.804,0.02
14.861,60.553,0.89,12.11,68.009,1.11,8.57,99.93,0.89,18.532,51.028,0.89
14.031,65.871,0.91,11.078,70.882,1.11,8.869,99.93,0.91,16.965,57.466,0.91
15.119,63.826,0.77,11.477,67.768,0.96,8.272,99.926,0.77,16.751,57.38,0.77
12.959,73.327,0.54,11.198,67.048,0.64,8.169,99.928,0.54,16.934,58.336,0.54
12.108,76.237,0.41,8.971,90.945,0.45,6.893,99.92,0.41,14.515,69.243,0.41
9.825,96.837,0.28,8.058,99.659,0.28,6.324,99.916,0.28,12.274,92.623,0.28
9.124,99.732,0.21,7.614,99.842,0.19,6.182,99.911,0.21,11.205,99.81,0.21
8.841,99.73,0.16,7.398,99.84,0.13,6.167,99.917,0.16,10.974,99.814,0.16
8.478,99.732,0.13,7.032,94.512,0.12,5.727,99.913,0.13,10.705,99.803,0.13
8.027,97.822,0.12,7.577,85.852,0.1,5.584,99.916,0.12,10.508,99.81,0.12
7.914,99.725,0.08,7.109,83.704,0.07,5.572,99.912,0.08,10.343,99.803,0.08
7.859,99.721,0.06,6.934,84.146,0.07,5.613,99.913,0.06,10.028,99.807,0.06
15.632,66.59,0,12.902,61.067,0,13.019,92.375,0,18.438,58.162,0
16.976,67.459,0,13.309,63.265,0,11.147,81.267,0,18.009,55.552,0
14.215,67.238,0,10.932,84.375,0,11.381,84.225,0,19.287,51.001,0
14.609,65.658,0,12.26,71.781,0,10.189,90.58,0,18.188,50.759,0
12.645,71.028,0,11.779,62.127,0,8.15,99.931,0,15.513,63.393,0
10.452,85.636,0,7.837,99.837,0,6.872,99.919,0,13.714,71.997,0
9.904,90.66,0,7.523,99.837,0,6.167,99.917,0,12.721,78.387,0
9.956,90.132,0,7.396,82.442,0,6.255,99.912,0,11.896,81.045,0
9.969,91.15,0,7.951,80.521,0,5.72,99.91,0,11.434,84.428,0
9.483,92.435,0,7.56,79.45,0,5.037,99.902,0,11.053,98.715,0
8.822,98.181,0,7.605,77.919,0,4.903,99.908,0,10.684,99.811,0
7.231,97.925,0,7.009,80.128,0,2.322,99.883,0,10.555,99.81,0
14.216,64.433,2.17,10.002,92.894,1.61,12.092,71.43,2.17,18.316,53.397,2.17
15.494,62.245,2.33,9.361,99.476,1.74,12.569,71.218,2.33,20.127,44.295,2.33
15.064,57.746,2.27,9.225,99.857,1.73,12.157,65.528,2.27,18.698,48.646,2.27
16.403,52.304,2.16,8.818,99.852,1.71,11.688,72.862,2.16,19.417,46.899,2.16
